iter	RMSE
329	697.312565
330	696.5470767
331	695.9084756
332	695.3277715
333	694.9939006
334	694.5805297
335	694.2173745
336	693.3945722
337	693.0748925
338	692.7208434
339	692.2045954
340	691.6987743
341	690.9390172
342	690.1140106
343	689.0425852
344	688.5985842
345	688.1305925
346	687.5959864
347	686.9819073
348	686.4973009
349	685.6940883
350	685.300578
351	684.8392969
352	684.2892284
353	683.5609169
354	682.5539078
355	682.2157794
356	681.6736843
357	681.2921475
358	680.8033111
359	680.5762148
360	679.6573745
361	678.9018717
362	678.4925052
363	678.0313162
364	677.6744486
365	677.0010179
366	676.5162296
367	676.2102059
368	675.2964009
369	674.7961487
370	674.183052
371	673.4231834
372	673.0435292
373	672.3666604
374	672.1532112
375	671.8288868
376	671.0406117
377	670.8250531
378	670.0462503
379	669.7242095
380	668.9102687
381	668.3541623
382	667.8972521
383	666.8383497
384	666.0473159
385	665.2974539
386	665.0203704
387	664.5257822
388	663.7655134
389	663.3569512
390	662.6668556
391	662.2171394
392	661.5697138
393	661.1827388
394	660.6936752
395	659.9821486
396	659.3672896
397	658.606725
398	657.9908377
399	657.7583294
400	657.4044541
401	656.684408
402	655.5225498
403	655.1364426
404	654.8993811
405	654.5434648
406	653.7644336
407	653.0904948
408	652.1038566
409	651.5361764
410	651.2039193
411	650.6846528
412	650.4047896
413	650.0736571
414	649.7854041
415	649.0957744
416	648.7419816
417	648.1552951
418	647.5185943
419	646.9884647
420	646.421631
421	645.9034328
422	645.146432
423	644.6237046
424	643.5703141
425	642.8698593
426	642.3698383
427	641.6613597
428	640.8229873
429	640.2241786
430	639.944286
431	639.2416453
432	638.7190796
433	638.2645258
434	637.8723429
435	637.0817631
436	636.6864074
437	636.1793916
438	635.6713865
439	635.1957828
440	634.6881326
441	634.4079945
442	633.9649179
443	633.6579054
444	633.3688722
445	632.4974751
446	632.1637822
447	631.9024989
448	631.4212507
449	631.044044
450	630.2073794
451	629.6339099
452	629.3552556
453	628.9605233
454	628.4087195
455	627.9108796
456	627.540202
457	626.8788891
458	626.2066532
459	625.6474832
460	625.1577662
461	624.7975158
462	623.9451371
463	623.248779
464	622.8846189
465	622.605791
466	622.2076648
467	621.7541546
468	621.247531
469	620.9882175
470	620.7839902
471	620.5629915
472	620.0798445
473	619.8881457
474	619.2918225
475	618.9791368
476	618.6667042
477	618.0756502
478	617.298531
479	616.9965375
480	616.5716993
481	616.1902276
482	615.8862104
483	615.2415665
484	614.9047672
485	614.3757778
486	613.985963
487	613.5704875
488	613.1749098
489	612.5977096
490	612.1904672
491	611.4062132
492	610.899449
493	610.0890808
494	609.4456264
495	608.9324335
496	608.5435043
497	607.9332805
498	607.5825058
499	607.1386299
